iter	Passed	Remaining
276	57530	150159
277	57703	149861
278	57881	149579
279	58089	149373
280	58255	149060
281	58421	148745
282	58601	148470
283	58813	148276
284	59046	148134
285	59246	147908
286	59423	147627
287	59616	147384
288	59788	147091
289	59953	146781
290	60136	146517
291	60298	146203
292	60475	145925
293	60693	145746
294	60898	145536
295	61066	145239
296	61265	145016
297	61439	144733
298	61664	144571
299	61877	144380
300	62074	144153
301	62241	143855
302	62408	143561
303	62587	143292
304	62758	143007
305	62956	142784
306	63188	142638
307	63363	142362
308	63535	142080
309	63727	141845
310	63929	141631
311	64092	141331
312	64255	141034
313	64424	140748
314	64588	140455
315	64764	140186
316	64945	139929
317	65123	139667
318	65284	139369
319	65450	139082
320	65619	138802
321	65814	138579
322	66054	138449
323	66290	138309
324	66538	138194
325	66771	138048
326	66980	137852
327	67184	137645
328	67384	137431
329	67568	137184
330	67743	136919
331	67921	136662
332	68111	136427
333	68286	136163
334	68449	135878
335	68618	135603
336	68780	135316
337	68958	135059
338	69167	134866
339	69417	134751
340	69589	134484
341	69792	134279
342	69992	134067
343	70175	133823
344	70368	133597
345	70535	133324
346	70714	133073
347	70994	133012
348	71177	132769
349	71341	132492
350	71513	132228
351	71673	131944
352	71857	131704
353	72026	131437
354	72193	131167
355	72382	130938
356	72566	130700
357	72733	130432
358	72916	130193
359	73100	129956
360	73268	129692
361	73434	129423
362	73613	129178
363	73802	128950
364	73990	128723
365	74195	128523
366	74373	128278
367	74552	128035
368	74731	127792
369	74959	127634
370	75137	127389
371	75334	127178
372	75501	126915
373	75689	126688
374	75879	126466
375	76043	126200
376	76212	125942
377	76380	125683
378	76566	125455
379	76731	125193
380	76926	124980
381	77104	124740
382	77268	124477
383	77460	124260
384	77668	124067
385	77839	123816
386	78009	123565
387	78179	123313
388	78345	123056
389	78564	122882
390	78769	122687
391	78947	122448
392	79161	122267
393	79358	122058
394	79556	121851
395	79745	121632
396	79914	121381
397	80105	121165
